term,summed_tfidf,document_frequency,document_frequency_pct
understand,1768.2357,20879,1.896
feel,1758.0454,14856,1.349
palm beach,1753.7268,13107,1.19
start,1729.1794,15015,1.363
plane,1726.1857,10780,0.979
apartment,1720.0098,10303,0.935
letter,1718.6792,11992,1.089
tickets,1715.9818,16696,1.516
management,1714.6326,22456,2.039
weeks,1713.6908,13970,1.268
google,1711.0726,16123,1.464
park,1710.3561,20483,1.86
chance,1708.9502,10557,0.958
wednesday,1706.9448,13631,1.238
express,1703.8337,11460,1.04
thomas,1701.8195,13680,1.242
east street,1694.923,11222,1.019
idea,1682.7345,13245,1.203
ready,1680.7654,12112,1.1
having,1675.9667,15136,1.374
receive,1674.7239,18763,1.703
question,1649.817,12789,1.161
problem,1649.1621,11242,1.021
attachments,1648.2855,10161,0.923
director,1646.5658,18181,1.651
following,1636.7847,21039,1.91
suite,1630.9427,16855,1.53
tax,1629.4064,13171,1.196
waiting,1625.9132,11098,1.008
town,1613.5607,9470,0.86
sept,1612.4763,8878,0.806
jojo,1611.1422,7961,0.723
feb,1609.3362,9481,0.861
years,1608.6272,17843,1.62
photo,1606.3143,8664,0.787
wait,1597.5513,10274,0.933
provide,1595.1715,23372,2.122
image,1593.1072,15811,1.435
john,1574.0448,13130,1.192
jeff,1573.5432,10110,0.918
jee,1555.1263,9625,0.874
business,1553.6957,23475,2.131
wire,1550.904,9110,0.827
kind,1549.9216,16748,1.521
heard,1544.8737,9594,0.871
regarding,1539.5541,21047,1.911
price,1538.0693,15293,1.388
american express,1532.6556,9261,0.841
